code,question_en,score,band,is_outlier,sentences,words,syllables,proposed_question_en,proposed_score,proposed_band,score_change
q_government_work,"Have you ever applied to work for, worked for, or received an employment-related service from the Government of Canada?",36.2,difficult,True,1,19,34,Have you applied for a federal job or worked for one?,80.3,easy,44.1
q_money_programs,"Have you ever applied for or received a federal benefit, grant, loan, reimbursement or other payment?",37.3,difficult,True,1,16,29,Did a federal program give you money or other help?,69.8,standard,32.5
q_tax_customs,"Have you filed federal taxes, paid federal duties, or made a customs declaration?",37.5,difficult,True,1,13,24,Did you ever file federal taxes or declare goods at the border?,67.8,standard,30.3
q_immigration,"Have you used a Canadian immigration, refugee, visa, permanent-residence or citizenship process?",-9.8,very difficult,True,1,12,29,"Have you applied to move to Canada, stay here or become a citizen?",70.0,fairly easy,79.8
q_travel_border,"Have you applied for a Canadian passport, crossed Canada’s border, or joined a trusted-traveller program?",22.4,very difficult,True,1,15,30,"Have you applied for a passport, crossed the border or used NEXUS?",67.8,standard,45.4
q_health_disability,"Have you received a federal health, dental, rehabilitation, disability or medical-device service?",-23.9,very difficult,True,1,12,31,Did a federal health program give you care or support?,78.2,fairly easy,102.1
q_indigenous_services,"Have you used a federal service specifically for First Nations, Inuit or Métis people?",45.0,difficult,True,1,15,26,"Have you used a federal service for First Nations, Inuit or Métis people?",65.7,standard,20.7
q_military_veterans,Have you served in the Canadian Armed Forces or used a federal veterans program?,41.6,difficult,True,1,14,25,Have you served in the Armed Forces or received help as a veteran?,63.5,standard,21.9
q_education_training,"Have you applied for federal student aid, an apprenticeship, scholarship or training program?",30.9,difficult,True,1,13,25,Has the Government of Canada helped pay for your school or job training?,70.0,fairly easy,39.1
q_justice_safety,"Have you been involved in a matter handled by federal law enforcement, security screening or corrections?",26.7,very difficult,True,1,16,31,"Did you have a security check or deal with a federal law officer, prison or parole?",58.4,fairly difficult,31.7
q_complaint_appeal,"Have you made a complaint, grievance or appeal to a federal institution or tribunal?",47.6,difficult,True,1,14,24,Did you file a complaint or ask a federal office to review a choice it made?,79.6,fairly easy,32.0
q_access_privacy,"Have you made an access-to-information, personal-information access, or correction request?",-23.3,very difficult,True,1,10,26,Have you asked a federal office for records about you or to fix your records?,67.5,standard,90.8
q_business_supplier,"Have you owned or operated a business, held a federal licence or permit, or contracted with the federal government?",31.7,difficult,True,1,19,35,"Did you run a business, get a federal permit or sell goods or services to the government?",60.2,standard,28.5
q_housing_property,"Have you used a federal housing, mortgage, home-buying or property program?",34.2,difficult,True,1,11,21,Have you used a federal program to rent or buy a home?,81.9,easy,47.7
q_civic_contact,"Have you contacted a federal institution, joined a consultation, signed a petition, or participated in a federal election process?",0.5,very difficult,True,1,19,42,"Did you contact a federal office, share your views, sign a petition or vote?",71.8,fairly easy,71.3
q_culture_volunteer,"Have you participated in or volunteered for a federally run cultural, sport, recreation, heritage or park activity?",10.4,very difficult,True,1,17,36,"Have you joined or helped with a federal arts, sports, heritage or parks event?",65.7,standard,55.3
q_research_survey,"Have you taken part in federal research, a survey, testing or a focus group?",65.7,standard,False,1,14,21,,,,
q_emergency,"Have you requested or received federal help during an emergency, evacuation or disaster?",11.4,very difficult,True,1,13,28,Did you ask for federal help in a crisis or after a disaster?,70.0,fairly easy,58.6
q_family_vital,"Have you used a federal service involving a birth, marriage, divorce, adoption, child support, death or estate?",45.3,difficult,True,1,17,29,"Did you use a federal service for a birth, wedding, divorce, adoption or death?",65.7,standard,20.4
