bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
CIRNAC PPU 040,Management of Indian Residential Schools Records,Gestion des documents relatifs aux pensionnats indiens,CIRNAC PPU 040,RCAANC PPU 040,"Includes the personal information collected and used as part of the litigation process which includes pleadings filed by the claimant's counsel and by counsel for the Attorney General of Canada, as well as information related to the Litigation Management and Resolution (CIRNAC RIA E5442-2), Alternative Dispute Resolution (CIRNAC RIA E5442-7), Advance Payment (CIRNAC RIA E5442-8), Independent Assessment Process (CIRNAC RIA E5442-10), Article 12 Requests (CIRNAC RIA E5442-12), Indian Residential Schools Information Requests (CIRNAC RIA E5442-14), Opt-Out (CIRNAC RIA 1107) and Common Experience Payment cases. The personal information collected may include the following: full name, nickname, gender, Indian Status, home and work mailing address, telephone number, date of birth, date of death, race, country of birth, employment, medical and psychological records, education records including report cards and teacher's comments dates of school attendance, residential school attended, student number, details of the alleged or perpetrated abuse experienced, settlements received, religious affiliation, signature.","Comprend les renseignements personnels recueillis et utilisés dans le cadre du processus de litige, ce qui inclut les plaidoiries déposées par l'avocat du demandeur et par l'avocat du procureur général du Canada, ainsi que les renseignements relatifs à la gestion et résolution des litiges (RCAANC RAI E5442-2), sur les cas traités suivant le Mode alternatif de règlement des conflits (RCAANC RAI E5442-7), le paiement anticipé (RCAANC RAI E5442-8), le Processus d'évaluation indépendant (RCAANC RAI E5442-10), les demandes au titre de l'article 12 (RCAANC RAI E5442-12), les demandes d'information informelles (RCAANC RAI E5442-14), les demandes en vertu du processus de retrait (RCAANC RAI 1107) et le Paiement d'expérience commune. Les renseignements personnels recueillis peuvent être les suivants : nom complet, surnom, sexe, statut d'Indien, adresse postale à la maison et au travail, numéro de téléphone, date de naissance, date de décès, race, pays de naissance, emploi, antécédents médicaux et psychologiques, documents scolaires, y compris bulletins et commentaires des enseignants, dates de fréquentation des écoles, pensionnat indien fréquenté, numéro d'élève, détail des sévices allégués ou perpétrés, sommes reçues à titre de règlements, appartenance religieuse, signature.","Individuals who have filed civil suits against the government or sought Alternative Dispute Resolution; Advance Payment; Independent Assessment Process and Common Experience Payment as a means of resolution for their experience at Indian Residential Schools. Also includes other parties related to the cases of current and former employees, former students, alleged or responsible perpetrators, legal counsel, teachers, medical staff and other individuals who are representing or acting on behalf of claimants and individuals providing witness accounts.","L'information a trait aux personnes ayant entamé des poursuites civiles contre le gouvernement ou qui se sont prévalues du Mode alternatif de règlement des conflits, du paiement anticipé, du Processus d'évaluation indépendant ou du Paiement d'expérience commune afin d'obtenir réparation pour des incidents survenus pendant qu'ils résidaient dans des pensionnats indiens. On inclut également les autres parties aux affaires des employés actuels et anciens, les anciens élèves, les agresseurs allégués ou avérés, les avocats, les enseignants, le personnel médical et les autres personnes qui représentent les demandeurs et les témoins ou qui agissent en leur nom. **Objectif :** Appuyer le processus judiciaire associé aux réclamations fondées en droit et aux dossiers de résolution et offrir un aperçu cohérent de ces cas, ce qui permet aux secteurs de RCAANC (Secrétariat d'adjudication des pensionnats indiens et Résolution et affaires individuelles) d'analyser les tendances à l'échelle nationale.",Formerly Litigation and Adjudication Management Related to Indian Residential Schools Students.,Anciennement la Gestion des litiges et des adjudications concernant les élèves des pensionnats indiens.,,,To support the litigation process of legal claims and resolution cases and to provide a consistent overview of the cases which allows the applicable Sectors within CIRNAC (i.e. Indian Residential Schools Adjudication Secretariat and the Resolution and Individual Affairs) to analyze trends on a national level.,,"The information is compiled in a case management database called Single Access Dispute Resolution Enterprise and is used by the applicable Sectors within CIRNAC (Indian Residential Schools Adjudication Secretariat and the Resolution and Partnership Sectors) and by litigators from the Department of Justice Canada (JUS PPU 010) to provide consistent information in support of those cases. It is also used by the Department of Justice Canada to analyze litigation trends on a national level. The information is further used in responding to media requests, and to track demographic information to assist in the historical research of the claims. Anonymized statistical reports are provided to senior management.","L'information est consignée dans la base de données unique Accès unique résolution de litiges, qui est utilisée par les secteurs de RCAANC (Secrétariat d'adjudication des pensionnats indiens et secteurs de la résolution et des partenariats) et les avocats plaidants du ministère de la Justice (JUS PPU 010) pour obtenir des renseignements cohérents appuyant ces cas. Le ministère de la Justice se sert également de cette information pour analyser les tendances en matière de litige à l'échelle nationale. L'information sert également à répondre aux demandes des médias et à faire un suivi démographique, ce qui facilite la recherche historique liée aux réclamations. Des rapports statistiques dépersonnalisés sont fournis à la haute direction.",Under development.,En cours de développement,"2017/003 **Related class of record numbers:** CIRNAC RIA E5442-2, CIRNAC RIA E5442-7, CIRNAC RIA E5442-8, CIRNAC RIA E5442-9, CIRNAC RIA E5442-10, E1442-12, E5442-14, CIRNAC RIA 1107","2017/003 **Numéros de la catégorie de documents connexe :** RCAANC RAI E5442-2, RCAANC RAI E5442-7, RCAANC RAI E5442-8, RCAANC RAI E5442-9, RCAANC RAI E5442-10, E1442-12, E5442-14, RCAANC RAI 1107",,,,,005376,005376
CIRNAC PPU 010,Litigation Committee Records,Documents du Comité des litiges,CIRNAC PPU 010,RCAANC PPU 010,Includes Litigation Committee Records.,Comprend les documents du Comité des litiges,Individuals who have made a claim against the government of Canada regarding their experience at a former Indian Residential School.,Personnes qui ont présenté au gouvernement du Canada une demande de réparation liée à leur expérience à titre d'ancien élève d'un pensionnat indien. **Objectif :** Ce fichier a pour objectif de conserver la documentation relative aux décisions prises par le Comité des litiges de Résolution des questions des pensionnats indiens Canada.,,,,,This bank exists to maintain a record of the Indian Residential Schools Resolution Canada Litigation Committee decisions.,,Information is maintained for audit purposes.,Cette information est conservée à des fins de vérification.,To be established.,À établir.,2017/003,2017/003 **Numéro de la catégorie de documents connexe :** RCAANC RAI E5442-2,CIRNAC RIA E5442-2,,,,005373,005373
CIRNAC PPU 030,Settlements,Règlements conclus,CIRNAC PPU 030,RCAANC PPU 030,"Includes the region, school attended and dates attended, date statement of claim filed, church denomination, date of settlement, apportionment, settlement award and the settlement mandate.","Comprend la région, le pensionnat fréquenté et les dates de la fréquentation, la date de présentation de l'exposé de la demande, la confession religieuse, la date du règlement, le partage de la responsabilité, l'indemnité accordée et le mandat du règlement.",Individual and group claim settlements.,Règlement des demandes de réparation de personnes et de groupes. **Objectif :** Conserver la documentation relative à tous les règlements conclus avec des personnes ou des groupes.,,,,,To maintain a record of all settlements reached with individuals or groups of claimants.,,Information may be used for internal financial and operational verification purposes.,Cette information peut servir à des fins de vérification financière et opérationnelle interne.,To be established.,À établir.,2017/003,2017/003 **Numéro de la catégorie de documents connexe :** RCAANC RAI E5442-2,CIRNAC RIA E5442-2,,,,005375,005375
CIRNAC PPU 020,Nunavut Training,Formation pour le Nunavut,CIRNAC PPU 020,RCAANC PPU 020,"Contains personal information on Inuit attending training programs. It includes their names, addresses, telephone numbers, age, gender, marital status, education, social insurance number and ethnic origin.","Fichier comprenant des renseignements personnels sur les Inuit inscrits à un programme de formation. On y trouve le nom des participants, leur âge, leur sexe, leur adresse, leur numéro de téléphone, leur statut matrimonial, leur niveau d'éducation, leur numéro d'assurance sociale et leur origine ethnique.",Inuit students attending training programs and whose studies are funded directly or indirectly by the department.,Les étudiants inuits qui sont inscrits à un programme de formation et dont les études sont financées directement ou indirectement par le ministère. **Objectif :** L'information est diffusée afin de gérer et de suivre de près l'exécution du programme de formation aux Inuit en vue de combler des postes au gouvernement du Nunavut en avril 2000.,Now related to record number CIRNAC NAO 140.,Maintenant lié au numéro de document RCAANC OAN 140.,,,The information is issued to monitor and control the provision of training of Inuit for jobs in the Nunavut Government to April 2000.,,No consistent uses.,Aucun usage compatible.,Records are retained for 5 years from the end of training and are then transferred to Library and Archives Canada.,"Une fois la formation terminée, les documents sont conservés pendant cinq ans avant d'être acheminés à Bibliothèque et Archives Canada.",78/032,78/032 **Numéro de document connexe :** RCAANC OAN 140,CIRNAC NAO 140,,,,003921,003921
CIRNAC PPU 050,Research Document Collections,Collections de documents de recherche,CIRNAC PPU 050,RCAANC PPU 050,"This bank includes records gathered from federal government sources pertaining to Indian Residential Schools in response to claims brought against the Crown. It contains information on specific school research related to Indian Residential Schools located in British Columbia, Alberta, Manitoba, Nova Scotia, Ontario, Québec, Saskatchewan, the Yukon, Northwest Territories and Nunavut as well as general history of Residential Schools; in addition, research associated with specific litigation against the federal Crown pertaining to the above-noted provinces and territories.","Ce fichier comprend des documents obtenus de différentes sources du gouvernement fédéral concernant les pensionnats indiens, produits en réponse aux demandes présentées contre la Couronne. Ces collections renferment de l'information sur certaines recherches particulières portant sur des pensionnats indiens en Colombie‑Britannique, en Alberta, au Manitoba, en Nouvelle-Écosse, en Ontario, au Québec, en Saskatchewan, au Yukon, dans les Territoires du Nord-Ouest et au Nunavut, ainsi que des archives sur les pensionnats en général. Elles comprennent également des travaux de recherche concernant des litiges particuliers contre la Couronne fédérale ayant trait aux provinces et territoires précités.",Claimants seeking compensation concerning their experiences at Indian Residential Schools in Canada.,Demandeurs qui cherchent à obtenir réparation pour des incidents survenus pendant qu'ils résidaient dans des pensionnats indiens au Canada. **Objectif :** Les documents sont rassemblés pour documenter et valider les demandes de réparation présentées contre le gouvernement. Ce sont des photocopies des documents originaux conservés dans différents services d'archivage du gouvernement fédéral.,,,,,The documents are collected to research and validate the claims brought against the government. They consist of photocopies of documents held in original form at various federal government repositories.,,The information used by staff of CIRNAC and by the Department of Justice litigators for operational verification purposes of residency and years of attendance at Indian Residential Schools.,Cette information sert au personnel de RCAANC et aux avocats plaidants du ministère de la Justice à des fins de vérification opérationnelle de fréquentation des pensionnats indiens et du nombre d'années de fréquentation.,To be established.,À établir.,2017/003,2017/003 **Numéro du document connexe :** RCAANC RAI E5442,CIRNAC RIA E5442,,,,005377,005377
CIRNAC PPU 170,On-the-Job Training,Formation en cours d'emploi,CIRNAC PPU 170,RCAANC PPU 170,"Contains information on the training period, the individual's monthly allowances and a monthly evaluation by the training agency.","Fichier comprenant des renseignements sur la période de formation, les allocations mensuelles versées aux participants et l'évaluation menée chaque mois par l'organisme de formation.",Northern Aboriginal peoples.,"Les Autochtones du Nord. **Objectif :** Le fichier est utilisé pour garder les accords sur la formation conclus entre les Autochtones du Nord et les organismes de formation. Les documents, réservés aux Autochtones du Nord, permettent de suivre les progrès de chaque participant.",Now related to record number CIRNAC NAO 276.,Maintenant lié au numéro de document RCAANC OAN 276.,,,The purpose of this bank is to maintain training agreements between northern Aboriginal peoples and training agencies. Records in the bank are restricted to northern Native people and are used to monitor each individual's progress.,,"Verification of information with other organizations, including data matching.",Ce fichier permet de vérifier les renseignements auprès d'autres organismes en effectuant notamment le couplage des données.,Records are retained for five years and are then transferred to Library and Archives Canada.,Les documents sont conservés pendant 5 ans avant d'être acheminés à Bibliothèque et Archives Canada.,78/032,78/032 **Numéro du document connexe :** RCAANC OAN 276,CIRNAC NAO 276,,,,002536,002536
CIRNAC PPU 136,Inuit Loan Fund,Caisse de prêts aux Inuit,CIRNAC PPU 136,RCAANC PPU 136,Contains personal and financial information about individual applicants. Records in the bank concern Inuit exclusively.,Fichier comprenant des renseignements personnels et financiers à propos de chaque requérant. Les documents portent exclusivement sur les Inuit.,"This personal information concerns Inuit individuals, groups, companies and corporations (including co-operatives) applying for loans from the Inuit Loan Fund.","Les personnes, les groupes, les sociétés, les sociétés constituées en personne morale, les coopératives inuits qui présentent une demande d'emprunt auprès de la caisse de prêts aux Inuit. **Objectif :** Le fichier sert à conserver les demandes d'emprunt présentées à la caisse de prêts aux Inuit.",Now related to record number CIRNAC NAO 266.,Maintenant lié au numéro de document RCAANC OAN 266.,,,The purpose of this bank is to record applications for loans from the Inuit Loan Fund.,,"Verification of information with other organizations, including data matching.",Ce fichier permet de vérifier les renseignements auprès d'autres organismes en effectuant notamment le couplage des données.,Records are retained for 6 fiscal years after repayment of the loan and are then transferred to Library and Archives Canada.,"Une fois le prêt remboursé, les documents sont conservés pendant 6 exercices financiers avant d'être acheminés à Bibliothèque et Archives Canada.",78/032,78/032 **Numéro du document connexe :** RCAANC OAN 266,CIRNAC NAO 266,,,,002528,002528
CIRNAC PPU 140,Small Business Loan Fund,Caisse de prêts aux petites entreprises,CIRNAC PPU 140,RCAANC PPU 140,Contains personal information on individuals applying for or receiving funds.,Le fichier comprend des renseignements sur les personnes qui présentent une demande de financement et sur celles qui reçoivent une aide financière.,Individuals applying for or receiving funds.,Les personnes qui présentent une demande de financement et celles qui reçoivent une aide financière. **Objectif :** Le fichier permet de tenir des dossiers sur les prêts aux petites entreprises établies au Yukon. Il sert également à vérifier que les prêts ont été remboursés par les particuliers.,Now related to record number CIRNAC NAO 266.,Maintenant lié au numéro de document RCAANC OAN 266.,,,The purpose of this bank is to maintain records of small business loans in the Yukon Territory. It is also used to monitor the repayment of loans by individuals.,,"Verification of information with other organizations, including data matching.",Ce fichier permet de vérifier les renseignements auprès d'autres organismes en effectuant notamment le couplage des données.,Records are retained for 10 fiscal years after repayment of the loan and are then destroyed.,"Une fois le prêt remboursé, les dossiers sont conservés pendant 10 exercices financiers après le remboursement du prêt et sont ensuite détruits.",78/032,78/032 **Numéro du document connexe :** RCAANC OAN 266,CIRNAC NAO 266,,,,002529,002529
CIRNAC PPU 806,Northern Mining Royalty Management,,CIRNAC PPU 806,,"This bank describes information that is used in support of mineral rights administration and the collection of mining royalties. Personal information may include name, contact information, age, occupation, name of spouse, financial and medical information, other identification numbers, and signature.",,"Prospectors and their spouses and other mining industry personnel, agents, representatives of companies, corporations or associations, notaries public, commissioners for oaths, and witnesses.",,,,,,"Personal information is used to administer the mineral and environmental programs, including the collection of royalties, and to establish an inventory of mining rights. Personal information is collected pursuant to s. 4 of the Department of Crown-Indigenous Relations and Northern Affairs Act, the Northwest Territories Mining Regulations and the Nunavut Mining Regulations, under the s. 12 of Territorial Lands Act.",,"Royalty payment information will be shared with Public Works and Government Services Canada (PWGSC PCU 712 Receiver General Payments, PWGSC PPU 717 Receiver General Deposits) to process payments to the federal government. The information, excluding information related to the collection of mining royalties, is also used to maintain a public record of mineral rights and is open to public inspection in accordance with the terms stipulated in the Northwest Territories Mining Regulations and the Nunavut Mining Regulations. Information related to the collection of mining royalties may be disclosed where required under land claims agreement or under exchange agreements entered into by the minister with other governments or aboriginal organizations for the purpose of administering the royalty regime. The information may also be used or disclosed for evaluation and reporting purposes.",,"Royalty records are retained for 30 years after last administrative use and are then transferred to Library and Archives Canada. Non royalty records, excluding applications for prospecting permits, are retained for 10 years after last administrative use and are then transferred to Library and Archives Canada. Applications for prospecting permits are retained for 6 years after last administrative use and are then destroyed.",,2000/015,,CIRNAC NAO 286,,,,20100112,
CIRNAC PPU 155,Prospectors' Assistance,Aide à la prospection,CIRNAC PPU 155,RCAANC PPU 155,Contains information about applicants that is supplied according to the Prospectors' Assistance Program Regulations.,"Fichier comprenant des renseignements sur les requérants, qui sont fournis conformément au Règlement sur le programme d'aide à la prospection.",Individuals applying for the Prospectors' Assistance Program.,Les personnes qui présentent une demande de subvention dans le cadre du Programme d'aide à la prospection. **Objectif :** Le fichier permet de consigner et de conserver les demandes de subvention présentées dans le cadre du Programme d'aide à la prospection.,Now related to record number CIRNAC NAO 286. This program is currently inactive.,Maintenant lié au numéro de document RCAANC OAN 286. Ce programme est actuellement inactif.,,,The purpose of this bank is to record and maintain applications for the Prospectors' Assistance Program.,,The bank is also used to monitor the Prospectors' Assistance Program.,Le fichier sert également à suivre les progrès réalisés dans le cadre du Programme d'aide à la prospection.,Records are retained for 6 years after each case is closed and are then transferred to Library and Archives Canada.,"Une fois que les dossiers sont clos, ils sont conservés pendant 6 ans avant d'être acheminés à Bibliothèque et Archives Canada.",2000/015,2000/015 **Numéro du document connexe :** RCAANC OAN 286,CIRNAC NAO 286,,,,002533,002533
