record_number,name_en,name_fr,document_types_en,document_types_fr
LAC DHC 030,Acquisitions,Acquisitions,"Machine-readable records related to the bibliographic information, ordering, invoicing and receipt of materials; committee records (agendas, minutes of meetings, records of decision); correspondence; acquisition criteria and agreements; statistical reports; program plans and evaluations; contracts; lesson plans and supporting documentation; research files; inventories; electronic publishing documentation; communication plans; etc.","Notices lisibles par machine concernant les données bibliographiques, les commandes, la facturation, les reçus de matériel, les documents des comités (ordre du jour et procès-verbaux des réunions, comptes rendus de décisions), les correspondances, les critères et les ententes d’acquisition, les rapports statistiques, les plans et les évaluations des programmes, les contrats, les plans de leçon et la documentation connexe, les fichiers de recherche, les inventaires, la documentation sur les publications électroniques, les plans de communication, etc."
LAC ITB 010,OCLC WorldShare,WorldShare d’OCLC,"Database records, committee minutes, committee records of decision, correspondence, memoranda, policies and procedures, statistical reports, briefing notes, project documentation (project plans, charters, etc.).","Documents de bases de données, procès-verbaux et comptes rendus de décisions des comités, correspondances, notes, politiques et procédures, rapports statistiques, notes d’information, documentations des projets (plans, chartes, etc.)."
LAC DHC 036,Canadian Digital Information Strategy,Stratégie sur l’information numérique canadienne,A final report entitled *Canadian Digital Information Strategy: Final Report of Consultations with Stakeholder Communities 2005–2008*.,Rapport définitif intitulé *Stratégie canadienne sur l’information numérique : Rapport final des consultations au sein des milieux intéressés 2005 à 2008*.
LAC DHC 110,Canadian Theses,Thèses canadiennes,"Theses and dissertations; advisory committee records (program updates, agendas, minutes); annual work plans; articles; presentations; briefing notes; budgets; client inquiries; contact information; contracts; copyright; development of the Theses Canada Portal (systems and content); financial records (invoices, invoice ledgers); inventories; legal issues; memberships; metadata; preservation master microfiche acquisition and storage; procedures; service issues with contractors; statistical reports; surveys; theses digitization; theses licences; travel plans; and university correspondence.","Thèses et mémoires, documents du comité consultatif (mises à jour du programme, ordres du jour, procès-verbaux), plans de travail annuels, articles, présentations, notes d’information, budgets, demandes des clients, coordonnées des personnes-ressources, contrats, droit d’auteur, conception du site Portail Thèses Canada (systèmes et contenu), documents financiers (factures, registres des factures), inventaires, questions juridiques, adhésions, métadonnées, acquisition, stockage et préservation des microfiches originales, procédures, questions relatives au service par les fournisseurs, rapports statistiques, enquêtes, numérisation des thèses, permissions pour les thèses, programmes de voyage, correspondance de l’université."
LAC DHC 040,Cataloguing in Publication,Catalogage avant publication,"Completed CIP application forms, statistics, contracts, communication documents, minutes, records of decision, memoranda, policies and procedures, briefing notes and project documentation.","Formulaires de catalogage avant publication remplis; statistiques, contrats, documents de communication, procès-verbaux, comptes rendus de décisions, notes, politiques et procédures, notes d’information et documentation concernant les projets."
LAC DHC 021,Digital Legal Deposit,Dépôt légal numérique,"Online publications (e.g., bulletins, journals, books), and administrative records including annual work plans, client inquiries, correspondence, supplier lists, policies, procedures and statistical reports.","Publications en ligne (p. ex. bulletins, revues, livres), documents administratifs, y compris les plans de travail annuels, les demandes des clients, les correspondances, les listes de fournisseurs, les politiques, les procédures et les rapports statistiques."
LAC CMHI 011,Government Records,Documents gouvernementaux,"Records related to training and guidance, internal research studies and project reports. Documentation on the development of methodology, policies, tools and instruments for arrangement, description and disposition of records and archival appraisal; documentation containing the analysis and rationale supporting the removal of Government of Canada records from LAC holdings; documentation related to the discoverability and release of records; proceedings of committees and working groups.","Documents concernant la formation et l’orientation, les études internes et les rapports de projets. Documents sur l’élaboration de méthodologies, de politiques, d’outils et d’instruments concernant le classement, la description et la disposition des documents et l’évaluation archivistique; documents se rapportant à l’analyse et à la justification de la destruction de documents du gouvernement du Canada faisant partie des fonds documentaires de BAC; documents relatifs à la découvrabilité et à la communication des dossiers, délibérations des comités et des groupes de travail."
LAC DHC 130,International Organization for Standardization,Organisation internationale de normalisation,Reports from technical committees and working groups concerned with standards for information and documentation (ISO/TC46 and its subcommittees).,Rapports des comités techniques et des groupes de travail se penchant sur les normes concernant l’information et la documentation (ISO/TC46 et sous-comités connexes).
LAC DHC 065,International Standard Numbering Programs,Programmes de numérotation internationale normalisée,"Database entries, minutes, records of decision, correspondence, memoranda, policies, standards and procedures, statistical reports, briefing notes and project documentation.","Entrées de bases de données, procès-verbaux, comptes rendus de décisions, correspondances, notes, politiques, normes et procédures, rapports statistiques, notes d’information et documentation concernant les projets."
LAC DHC 235,National and International Bibliographic Projects,Projets nationaux et internationaux de bibliographie,"Reports, correspondence, memoranda, briefing notes, minutes, and records of decisions.","Rapports, correspondances, notes, notes d’information, procès-verbaux et comptes rendus de décisions."
LAC DHC 114,Private Archives,Archives privées,"Transfer agreements, inventories, finding aids, memoranda of understanding, accession records, archival appraisal reports and supporting documentation, monetary evaluation reports, etc.","Ententes de transfert, inventaires, instruments de recherche, protocoles d’entente, notices d’acquisition, évaluations archivistiques et documentation à l’appui, rapports d’évaluation monétaire, etc."
LAC DHC 060,Resource Description and Access (RDA) (formerly Anglo-American Cataloguing Rules [AACR]),"Ressources, description et accès (RDA) (anciennement Règles de catalogage anglo-américaines [RCAA])",RDA 1st edition; RDA 2nd edition; JSC meetings; amendments to the RDA.,"RDA, 1re édition; RDA, 2e édition; réunions du Comité de direction mixte; modifications aux RDA."
LAC DHC 041,Web Archiving Program and the Government of Canada Web Archive,Programme d’archivage Web et Archives du Web du gouvernement du Canada,"Database containing web archival collections, data and metadata. Index of websites of all departments, agencies and commissions of the Government of Canada, and administrative records including policies, procedures and statistical reports.","Base de données contenant des collections d’archives, des données et des métadonnées tirées du Web. Index des sites Web de tous les ministères, organismes et commissions du gouvernement du Canada, et documents administratifs, notamment les politiques, procédures et rapports statistiques."
LAC CMHI 185,Advice and Guidance,Conseils et orientation,"Tools, guidelines, policies, briefing notes, plans, presentations, research reports, directives.","Outils, lignes directrices, politiques, notes d’information, plans, présentations, rapports de recherche, directives."
