record_number,name_en,name_fr,document_types_en,document_types_fr
HICC HHB 010,Short-Term Rental Enforcement Fund,,"Agreement management records, analytical reports, annual progress reports, application reviews, application submissions, application summaries, briefing notes, correspondence, evaluation reports, financial claims and payments, funding agreements, grant agreements, guidelines, issues notes, key messages, legal advice, lessons learned reports, management control frameworks, media analyses, media lines, meeting agendas, ministerial recommendations, minutes and summaries, news releases, payment documentation, policies, policy analyses, presentations, procedures, progress reports, questions and answers, records of decision, reports, risk assessments, scenario notes, social media postings, speaking notes, statements, templates, terms of reference, Treasury Board submissions.",
HICC HHB 020,Policy Development for Federal Housing Programs,,"Briefing notes, Cabinet documents, committee notes, correspondence, datasets, evaluation reports, financial reports, issues notes, legal advice, media analyses, media lines, meeting agendas, ministerial recommendations, news releases, presentations, question period cards, questions and answers, records of decision, speaking notes, speeches, Treasury Board submissions.",
HICC HHB 120,Canada Rental Protection Fund,Fonds canadien de protection des loyers,"Application forms, applicant guides, application submissions, assessment tools, briefing notes, Cabinet documents, committee notes, contracts, correspondence, engagement materials, issues notes, media lines, news releases, presentations, question period cards, records of decision, statements of work, webpage material.","Formulaires de demande, guides de demandeur, présentations de demandes, outils d'évaluation, notes d'information, documents du Cabinet, notes de comité, contrats, correspondance, documents de mobilisation, notes sur les enjeux, infocapsules, communiqués de presse, présentations, fiches pour les périodes de questions, comptes rendus de décisions, énoncés de travail, contenu de page Web."
HICC HHB 100,"Federal Housing Policy Frameworks, Legislation and Regulation","Cadres stratégiques, législation et réglementation en matière de logement fédéral","Briefing notes, Cabinet documents, committee notes, correspondence, issues notes, legal advice, media analyses, media lines, meeting agendas, news releases, presentations, question period cards, questions and answers, records of decision, regulatory impact analysis statements, scenario notes, speaking notes, supporting regulatory materials.","Notes d'information, documents du Cabinet, notes de comité, correspondance, notes sur les enjeux, avis juridiques, analyses médiatiques, infocapsules, ordres du jour de réunions, communiqués de presse, présentations, fiches pour les période de questions, questions et réponses, comptes rendus de décisions, résumés de l'étude d'impact de la réglementation, notes de scénario, notes d'allocution, documents d'accompagnement réglementaires."
HICC HHB 110,Federal-Provincial-Territorial Relations on Housing,Relations fédérales-provinciales-territoriales en matière de logement,"Briefing notes, correspondence, issues notes, meeting agendas, presentations, records of decision.","Notes d'information, correspondance, notes sur les enjeux, ordres du jour de réunions, présentations, comptes rendus de décisions."
HICC CIP 300,Canada Housing Infrastructure Fund,Fonds canadien pour les infrastructures liées au logement,"Application forms, audit reports, briefing notes, Cabinet documents, contracts and scopes of work, correspondence, delegation of authority, environmental assessments and reports, evaluation reports, financial claims and payments, financial management reports, funding agreements and amendments, guidelines, Indigenous consultations, legal advice, media analyses, media lines, meeting agendas and minutes, memoranda of understanding, ministerial recommendations, monitoring reports, news releases, payment documentation, plans, presentations, procedures, program control frameworks, project and reporting data, project reviews, project submissions, question period cards, questions and answers, records of decision, risk and audit frameworks, risk assessments, social media postings, speaking notes, speeches, templates, terms of reference, Treasury Board submissions.","Formulaires de demande, rapports de vérification, notes d'information, documents du Cabinet, contrats et portées des travaux, correspondance, délégation de pouvoirs, évaluations et rapports environnementaux, rapports d'évaluation, créances et paiements, rapports sur la gestion financière, ententes de contribution et modifications, lignes directrices, consultations auprès des autochtones, avis juridiques, analyses médiatiques, infocapsules, ordres du jour et procès-verbaux de réunions, protocoles d'entente, recommandations ministérielles, rapports de suivi, communiqués de presse, documents de paiement, plans, présentations, procédures, cadres de gestion de programme, données relatives aux projets et aux rapports, examens de projet, présentations de projets, fiches pour les périodes de questions, questions et réponses, comptes rendus de décisions, cadres de risques et de vérification, évaluations des risques, affichages dans les médias sociaux, notes d'allocution, discours, gabarits, mandats, présentations au Conseil du Trésor."
HICC PRB 020,Research and Knowledge Initiative,,"Agreement management committee terms of reference, application assessment and recommendation documents, audit reports, audited financial statements, briefing notes, calls for application documents, claims related invoices and backup documentation, communications strategies, contracts, contribution agreements, correspondence, delegation of authority, external communications documents, final reports, financial claims and payments, funding proposals, guidelines, legal advice, meeting agendas and minutes, memoranda, news releases, policies, presentations, procedures, progress reports, project summaries, question period cards, questions and answers, records of decision, studies, Treasury Board submissions, videos, web content, and workplans.",
HICC HHB 030,Reaching Home: Canada's Homelessness Strategy,,"Agreements, analytical reports, backgrounders, briefing notes, Cabinet documents, contracts and scopes of work, contribution agreements and amendments, correspondence, financial and activity reports, funding agreements, funding proposals, grant and contribution agreements, guidelines, Indigenous consultations, invoices, issues notes, key messages, media lines, meeting agenda and minutes, memoranda, ministerial recommendations, newsletters, plans, policies, presentations, project and reporting data, project reports, project reviews and evaluations, progress reports, project submissions, project summaries, publications, question period cards, questions and answers, records of contact and interaction with recipients, records of discussion, reports, scenario notes, speaking notes, speeches, statements, statistical analyses, studies, surveys, templates, videos.",
HICC HHB 090,Veteran Homelessness Program,Programme de lutte contre l'itinérance chez les vétérans,"Application forms, backgrounders, briefing notes, Cabinet documents, contribution agreements and amendments, correspondence, evaluation reports, financial and activity reports, financial claims and payments, funding proposals, guidelines, issues notes, key messages, legal advice, media analysis, media lines, meeting agenda and minutes, meeting summaries, memoranda, memoranda of understanding, ministerial recommendations, news releases, plans, policies, presentations, procedures, program control frameworks, project and reporting data, project listing for communications, question period cards, questions and answers, records of contact and interaction with recipients, records of discussion, scenario notes, social media postings, speaking notes, speeches, terms of reference, Treasury Board submissions.","Formulaires de demande, documents d'information, notes d'information, documents du Cabinet, ententes de contribution et modifications, correspondance, rapports d'évaluation, rapports financiers et d'activités, créances et paiements, propositions de financement, lignes directrices, notes sur les enjeux, messages clés, avis juridiques, analyses médiatiques, infocapsules, ordres du jour et procès-verbaux de réunions, résumés de réunions, notes de service, protocoles d'entente, recommandations ministérielles, communiqués de presse, plans, politiques, présentations, procédures, cadres de gestion de programme, données relatives aux projets et aux rapports, liste de projets pour les communications, fiches pour les périodes de questions, questions et réponses, enregistrements de contacts et d'interactions avec les destinataires, comptes rendus de discussions, notes de scénario, affichages dans les médias sociaux, notes d'allocution, discours, mandats, présentations au Conseil du Trésor."
HICC CIP 270,Public Transit Infrastructure Fund,Fonds pour l'infrastructure de transport en commun,"Audit reports, briefing notes, business cases, Cabinet documents, contribution agreements and amendments, correspondence, delegations of authority, environmental assessments and reports, financial claims and payments, financial management reports, guidelines, issues notes, legal advice, media analyses, media lines, meeting agendas and minutes, memoranda of understanding, monitoring reports, news releases, payment requisitions, plans, presentations, procedures, program control frameworks, project reviews, project risk analyses, question period cards, receipts and vouchers, records of decision, records of discussion, statements, terms and conditions, Treasury Board submissions.","Rapports de vérification, notes d'information, analyses de rentabilité, documents du Cabinet, ententes de contribution et modifications, correspondance, délégations de pouvoirs, évaluations et rapports environnementaux, créances et paiements, rapports sur la gestion financière, lignes directrices, notes sur les enjeux, avis juridiques, analyses médiatiques, infocapsules, ordres du jour et procès-verbaux de réunions, protocoles d'entente, rapports de suivi, communiqués de presse, demandes de paiement, plans, présentations, procédures, cadres de gestion de programme, examens de projet, analyses des risques liés aux projets, fiches pour les périodes de questions, reçus et récépissés, comptes rendus de décisions, comptes rendus de discussions, relevés, modalités, présentations au Conseil du Trésor."
