record_number,name_en,name_fr,document_types_en,document_types_fr
DND NOR 010,North American Aerospace Defence (NORAD),Commandement de la défense aérospatiale de l'Amérique du Nord (NORAD),"Reports on missions, records of decision, files on and about NORAD committees/conferences, exercises reports","Rapports de missions, rapports de décisions, fichiers relatifs aux comités/conférences du NORAD, rapports d'exercices."
DND OPS 010,Continental Contingency Ops,Opérations de contingence continentales,"Orders, plans briefs, reports, etc.","Ordonnances, plans, fiches, rapports, etc."
DND MPO 300,Domestic Operational Plans,Plans opérationnels domestiques,"Aid to other federal departments; aid to civil powers, armed assistance, etc; domestic emergency plans; emergency planning; operational studies and mobilization planning.","Aide à d'autres ministères fédéraux, aide aux autorités civiles, assistance armée, etc., plans d'urgence internes, planification d'urgence et planification de la mobilisation."
DND PPB 145,NATO,OTAN,"NATO agreements; NATO committees; NATO defence measures and plans; NATO mutual aid; NATO organization and establishment; and NATO defence review; NATO Research and Technology Organization (RTO), NATO Research and Technology Board (RTB).","Accords (OTAN), comités (OTAN), plans et mesures de défense (OTAN), aide mutuelle (OTAN), organisation et effectifs (OTAN) et examen de la défense (OTAN), OTAN, L'Agence pour la recherche et la technologie (RTO), OTAN, Comité pour la recherche et la technologie (RTB)."
DND OPS 020,International Operations,Opérations internationales,"orders, plans, briefs, reports, etc.","Ordonnances, plans, fiches, rapports, etc."
DND ADO 230,"Aerospace Intelligence, Surveillance, Reconnaissance and Control","Renseignement, surveillance, reconnaissance et contrôle aérospatiaux",Movement of aircraft; detection and tracking; and deployment of aircraft.,"Mouvement aérien, détection et pistage et déploiement des aéronefs."
DND MIS 080,Intelligence,Renseignement,"Intelligence requirements; briefing; production; facilities; studies; and publications, plans, and analyses.","Besoins en matière de renseignement, notes d'information, production, installations, études, publications, plans et analyses."
DND MEO 310,Mapping and Charting,Cartes et cartographie,Requirements; formal agreements; operational developments; and requests and issues.,"Besoins, accords officiels, mises au point opérationnelles, demandes et distribution."
DND ADO 270,Over-flights,Survols,"Policies pertaining to Over-flights, mission reports, plans and readiness records.","Politiques relatives aux survols, rapports de mission, plans et dossiers de préparation."
DND WEE 695,Accidents – Explosives,Accidents – explosifs,Records related to explosives accidents – explosives safety; shipboard magazines-explosive hazards; and accident reports.,"Dossiers relatifs aux accidents d'explosifs – sécurité des explosifs, soutes à munitions – dangers d'explosion et rapports d'accidents."
DND JAG 030,"Treaties, Pacts and Agreements","COR Traités, pactes et accords","Treaties, pacts, agreements.","Traités, pactes et accords."
DND PPB 140,Policy Planning with External Agencies (Canadian and Foreign),Planification des politiques conjointement avec des organisations extérieures (canadiennes et étrangères),Integration of government external operations; United Nations; policy; peacekeeping; and International Peace Academy.,"Intégration des opérations extérieures du gouvernement, les Nations Unies, les politiques, le maintien de la paix, l'Académie mondiale pour la paix."
DND MIS 086,Security Policy and International Defence Relations,Politiques sur la sécurité et relations internationales sur la défense,"Defence policy related to domestic and continental operations, arms (including nuclear) and proliferation control, NATO and NATO operations, peacekeeping and all other types of international engagements, the Asia-Pacific region, Canada-US relations and the western hemisphere, international organizations (agreements, meetings, decisions).","La politique de la Défense concernant les opérations nationales et continentales, les armes (y compris nucléaires) et le contrôle de la prolifération, l'OTAN et les opérations de l'OTAN, le maintien de la paix et tous les autres engagements internationaux, la région de l'Asie-Pacifique, les relations entre le Canada et les États-Unis et l'hémisphère occidental, les organisations internationales (accords, réunions, décisions)."
DND ADO 235,Air Doctrine - Operations,Doctrine et opérations aériennes,"Aerial, tactical and reconnaissance operations; flying rates; ejection; bailout and parachuting procedures; and doctrine development.","Opérations de largage aérien, de reconnaissance et opérations aériennes tactiques, taux d'utilisation des aéronefs, méthodes d'éjection, d'abandon de l'appareil et de saut en parachute, élaboration d'une doctrine."
DND ADO 260,Meteorology,Météorologie,"Communications; publications; secondment of personnel; forecasting; and observing., MOUs with other government departments.","Communications, publications, détachement de personnel, prévisions et observations, et PE avec d'autres ministères."
DND MSP 005,Food Services (Mission Support),Services d'alimentation (soutien de mission),"Plans; staff assistance visits; unit returns, menu options, food acquisition, distribution and storage policies and requirements, nutrition information, and consumption stats.","Plans, visites d'aide d'état-major, retour des unités, options pour les menus, acquisition des aliments, politiques et besoins en matière de distribution et d'entreposage, information sur la nutrition et statistiques de consommation."
DND MSP 025,Construction Engineering (Mission Support),Génie construction (Soutien de mission),Accommodation; airfields; construction and maintenance; fire prevention; grounds maintenance; heating systems; janitorial services; natural resources management; real property management; acquisition of works and buildings; lettings; disposal; research and development; sanitation services; and utilities.,"Hébergement, terrains d'aviation, construction et entretien, prévention des incendies, entretien des terrains, systèmes de chauffage, services de concierge, gestion des ressources naturelles, gestion des propriétés immobilières, acquisition d'installations et d'immeubles, locations, élimination, recherche et développement, services sanitaires et services publics."
DND MSP 045,Military Policing (Mission Support),Police militaire (Soutien de mission),"Law enforcement, criminal intelligence gathering, civilian police force training, personnel and materiel security, and detention operations.","Application de la loi, cueillette de renseignements sur les crimes, formation des forces policières civiles, sécurité du personnel et du matériel et opérations de détention."
DND MSP 020,Communications and Information Systems (Mission Support),Systèmes de communications et d'information (Soutien de mission),"Equipment specifications and capabilities, digital radios, ground telecommunications systems, radar systems, portable satellite terminals, fibre optics, cryptographic equipment and computers.","Fiches techniques sur l'équipement et ses capacités, les radios numériques, les systèmes de télécommunications terrestres, les systèmes radars, les terminaux satellites portatifs, les fibres optiques, l'équipement de cryptographie et les ordinateurs."
DND MSP 010,Land Equipment Maintenance Services (Mission Support),Services de maintenance de l'équipement terrestre (Soutien de mission),"Life-cycle management directives for land equipment, repair manuals, maintenance logs, design and engineering changes; drawings and specifications; maintenance techniques; modifications and alterations.","Directives sur la gestion du cycle de vie de l'équipement terrestre, manuels de réparation, livrets techniques de maintenance, changements de conception et techniques, dessins et fiches techniques, techniques d'entretien, modifications et changements."
DND MSP 015,Logistics Operations (Mission Support),Opérations logistiques (Soutien de mission),"Logistics Operations - national and international, logistic policy and doctrine, logistic systems evaluation, plans/briefing notes regarding movement control, transport, postal services, supply and delivery of equipment, ammunition, food and shelter.","Opérations logistiques - nationales et internationales, politique et doctrine logistique, évaluation des systèmes logistiques, plans/notes d'information concernant le contrôle des mouvements, le transport, les services postaux, l'approvisionnement en équipement et sa livraison, les munitions, les aliments et l'hébergement."
DND RDB 726,Canadian Safety and Security Program,Programme canadien de sûreté et de sécurité,Strategic guidance; program plans; assessments; security capability investment options; analysis for investment and operational decision making; technology and systems assessments and development.,"Orientation stratégique, plans de programme, évaluations, options d'investissement dans la capacité de sécurité, analyse d'investissement et de prise de décision opérationnelle, évaluations et développement de technologies et de systèmes."
DND ADO 275,Search and Rescue,Recherche et sauvetage,"Employment of SAR Helicopters; operational readiness; and records of missions. Aircraft; marine; missing persons; and mercy flights. Strategic directions, annual priorities and program plans. Policies, guidelines, standards, statistical information and trend analysis, reports. Memorandum of Understanding and Agreements between partners for funding programs, prevention, knowledge management and lessons learned","Emploi des hélicoptères du programme SAR, état de disponibilité opérationnelle et dossiers de mission. Aéronefs, marine, personnes disparues et vols de secours. Directives stratégiques, priorités annuelles et plans de programmes. Politiques, lignes directrices, normes, information statistique et analyses et rapports sur les tendances. Protocoles d'entente et accords entre les partenaires de programmes de financement, prévention, gestion des connaissances et leçons retenues."
DND DOC 415,Battle Honours,Honneurs de guerre,Battle Honours presented to military units.,Honneurs de guerre présentés aux unités.
DND DMH 070,Historical Matters,Questions historiques,Land environment; air environment; and sea environment.,"Élément terre, élément air, élément mer."
DND DMH 075,Military History Document Collections,Recueil des documents d'histoire militaire,"Military historical documentation. Note: Files arranged by subject and accession number, source, author, or title.","Documentation historique militaire. Nota : les fichiers sont classés par sujet et numéro d'enregistrement, source, auteur ou titre."
DND DOC 410,Badges and Insignia,Insignes et écussons,Badges and Insignia for Canadian Forces; commands; units; branches; ranks; and qualification.,"Insignes et écussons concernant les Forces armées canadiennes, les commandements, les unités, les services, les grades et les qualifications."
DND DOC 425,"Colours, Flags",Couleurs et drapeaux,Flags; pennants; colours; devices; and accessories.,"Drapeaux, fanions, couleurs, emblèmes et accessoires."
DND DOC 420,"Ceremonies, Celebrations",Cérémonies et célébrations,Ceremonies and celebrations; centennials; and observance of special days.,"Cérémonies et célébrations, centenaires et observance de jours spéciaux."
DND DOC 440,Dress Instructions,Tenue vestimentaire - directives,Ceremonial; environmental; women personnel; design; officers; other ranks; and special purpose.,"Cérémonies, éléments (terre, air, mer), personnel féminin, conception, officiers, autres grades et tenues spéciales."
DND DOC 445,Honours and Awards,Distinctions et récompenses,Honours; awards; citations; commendations; medals; and decorations.,"Distinctions, récompenses, citations, mentions élogieuses, médailles et décorations."
DND DOC 435,Bands,Musiques,Policy; music and songs; regimental marches and calls; organization; and participation in ceremonies.,"Politiques, musique et chansons, marches et sonneries régimentaires, organisation et participation aux cérémonies."
DND RCD 340,Cadets and Junior Canadian Rangers,Les cadets et les Rangers juniors canadiens,Memorandums of Understanding; ministerial directives; briefing notes; Cadet Administration and Training Orders; Junior Canadian Rangers Administration and Training Orders; Letters; Records of Decisions; QR (Cadets); Military Personnel Instructions; Standard Operating Procedures; Qualification Standards and Plans; Instructional Guides; Promotional Materials; Directives; Significant Incident Reports; Statistical Reports; Program Evaluation and Validation Reports,"Protocoles d'entente, directives ministérielles, notes de synthèse, Ordonnances sur l'administration et l'instruction des cadets, Ordonnances sur l'administration et l'instruction des Rangers juniors canadiens, lettres, rapports de décisions, QR (Cadets), instructions du personnel militaire, instructions permanentes d'opérations, normes et plans de qualification, guides d'instruction, documents de promotion, directives, rapports d'incident d'importance, rapports statistiques, rapports d'évaluation et de validation de programme"
DND LDO 210,Instructional Material,Matériel d'instruction,Publications,Publications
DND OPS 030,Land Operations,Opérations terrestres,,"Doctrine tactique terrestre, rapports, plans, politiques, données, dessins, spécifications, recherche, simulation et données techniques."
DND MDO 190,Maritime Operations,Opérations maritimes,Employment of maritime forces; ships' movement reporting system; naval gunfire support; operational readiness; and International Commission on North Atlantic Fisheries - fisheries patrols.,"Emploi des Forces maritimes, système de signalisation du mouvement des navires, soutien du tir d'artillerie navale, état de disponibilité opérationnelle, Commission internationale des pêcheries de l'Atlantique Nord - Patrouille des pêcheries."
DND MDO 195,Maritime Operations - Contingency,Opérations maritimes - Contingence,Civil direction of shipping; naval control of shipping; naval officer-in-charge organization; and fisheries emergency control organization.,"Organisation de la direction civile de la navigation commerciale, Organisation du contrôle naval de la navigation commerciale, organisation du Commandant de la Marine et Organisation des mesures d'urgence pour les pêches."
DND MDO 185,Maritime Defence,Défense maritime,"Defence of ships; utilization of government-owned vessels during emergency or war; torpedo counter-measures; maritime forces deployment; Maritime Defence in the Arctic; security of Canadian ports, internal waters, and shipping.","Protection des navires, utilisation des navires du gouvernement en cas d'urgence ou de guerre, contre-mesures antitorpilles, déploiement des Forces maritimes, défense maritime dans l'Arctique, sécurité des ports canadiens, des eaux intérieures et des navires."
DND ADO 280,Warfare - Anti-submarine,Guerre anti-sous-marine,Detection systems; and sound surveillance.,Systèmes de détection et surveillance des sons sous-marins.
