record_number,name_en,name_fr,document_types_en,document_types_fr
PED 300,Advocacy and coordination,,"Policy documents, briefing notes, sector profiles, environmental scans, planning and reporting documents, Memoranda to Cabinet, Treasury Board submissions, presentations, framework documents, guidelines, processes, planned funding, calls for proposals, funding requests and projects proposals, statements of work, letters of interest, position papers, federal/provincial agreements or memoranda of understanding, statistical reports, newsletters, news releases, newspaper clippings, and media transcripts, company capability profiles, briefing notes, briefing books, meeting minutes, reports, research contracts, trade shows and events.",
PED 110,Business productivity,,"Policy documents, briefing notes, Treasury Board submissions, information requests, funding requests and project proposals, business plans, program criteria, project evaluations, due diligence reports, meeting minutes, contribution agreements and amendments, payment claims, financial statements, project rejections, project inventory reports, de-committed projects, audits, issues reports, statistical reports, program evaluation reports, newsletters, news releases, speeches, newspaper clippings and media transcripts, brochures.",
PED 105,Business services,,"Policy documents, briefing notes, Treasury Board submissions, internal policies, risk management documents, WCBSN board meeting minutes, operating plan reviews, research reports, funding requests and project proposals, business plans, contribution agreements and amendments, project rejections, project inventory reports, decommited projects, financial statements, annual reports, performance measurements, statistical reports, payment claims, program evaluation reports, impact studies, regional issues, newsletters, news releases, speeches, newspaper clippings and media transcripts, brochures.",
PED 205,Community development,,"Policy documents, briefing notes, Treasury Board submissions, internal policies, risk management documents, FEDO board or other committee meeting minutes, operating plan reviews, research reports, information inquiries, funding requests and project proposals, operating plan review documents, due diligence reports, business plans, contribution agreements and amendments, project rejections, project inventory reports, de-committed projects, financial statements, annual reports, performance measurements, statistical reports, payment claims, program evaluation reports, impact studies, regional issues, newsletters, news releases, speeches, newspaper clippings and media transcripts, brochures.",
PED 210,Community Futures Program,,"Policy documents, briefing notes, Treasury Board submissions, internal policies, risk management documents, contribution agreements, amendments, operating plan reviews, business plans, project proposals, evaluation criteria, due diligence reports, statistical reports, monitoring reports, payment claims, meeting information, financial statements, annual reports, Board of Directors lists, news releases, speeches, newspaper clippings and media transcripts, audit and evaluation reports.",
PED 305,Economic analysis,,"Policy documents, statistical spreadsheets on economic issues, sector/cluster profiles, databases containing economic metrics, regional issues, success stories, brochures, news releases, speeches, newspaper clippings and media transcripts, briefing notes, and Memoranda to Cabinet, presentations.",
PED 200,Infrastructure programs,,"Policy documents, presentations, briefing notes, Treasury Board submissions, ministerial or parliamentary inquiries, funding guidelines, terms and conditions, funding enquiries, application forms, project information, project analysis and recommendations, environmental assessments, letters of offer, project rejections, contribution agreements and amendments, payment claims, financial statements, site photos, communications plans, news releases, speeches, newspaper clippings, media transcripts, media summaries, signage, congratulatory letters, newsletters, audit and evaluation plans, reports, surveys, federal/provincial reports, committee minutes, budgets, statistical reports, workshops.",
PED 215,Targeted economic initiatives,,"Policy documents, briefing notes, Treasury Board submissions, presentations, action plans, discussion papers, ministerial or parliamentary enquiries, federal/provincial agreements or memoranda of understanding, performance measurements, terms and conditions, funding criteria, information requests, funding requests and project proposals, business plans, program criteria, project evaluations, due diligence reports, meeting minutes, contribution agreements and amendments, payment claims, financial statements, project rejections, project inventory reports, de-committed projects, audit and evaluation plans and reports, issues reports, statistical reports, environmental assessments, program evaluation reports, communication plans, surveys, newsletters, news releases, speeches, newspaper clippings and media transcripts, brochures, signage.",
PED 115,Technology commercialization,,"Policy documents, briefing notes, Treasury Board submissions, action plans, discussion papers, performance measurements, annual progress reports, information requests, funding requests and project proposals, business plans, program criteria, project evaluations, due diligence reports, credit check reports, meeting minutes, contribution agreements and amendments, payment claims, financial statements, project rejections, project inventory reports, de-committed projects, audits, issues reports, statistical reports, strategic environmental assessments, program evaluation reports, newsletters, news releases, speeches, newspaper clippings and media transcripts, brochures, staff awareness events.",
PED 100,"Trade, investment and market access",,"Policy and framework documents, briefing notes, Treasury Board submissions, meeting minutes, research reports, research contracts, Enhanced Representation Initiative (ERI) program information, funding criteria, statement of work, federal/provincial agreements, memoranda of understanding, funding requests and project proposals, business plans, financial statements, project analysis and recommendations, contribution agreements and amendments, payment claims, annual reports, performance measurements, audit and evaluation reports, statistical reports, newsletters, news releases, speeches, newspaper clippings and media transcripts, trade conferences.",
